"site","latitude","longitude"
"Taconazo",10.4099998474121,-84.0100021362305
"Icacos",18.275447845459,-65.7854995727539
"RioIcacosTrib",18.2764778137207,-65.7858963012695
"QS",18.3213157653809,-65.8170547485352
"Prieta",18.3240432739258,-65.8151245117188
"Simms",29.8020000457764,-81.7129974365234
"SF700",29.8465137481689,-82.2197418212891
"SF2500",29.8492794036865,-82.7147674560547
"CowCreek",29.8602924346924,-82.7548980712891
"Drain",29.8624019622803,-82.2838821411133
"SF2800",29.9117908477783,-82.8606262207031
"WS1500",29.9219188690186,-82.4262313842773
"ICHE2700",29.9525871276855,-82.7862701416016
"Branford",29.9555568695068,-82.9277801513672
"NR1000",29.998046875,-82.2741622924805
"WaterOak",30.0242214202881,-82.1543884277344
"Olustee",30.0952434539795,-82.4729080200195
"WhiteSprings",30.3255558013916,-82.7383346557617
"LV",33.5585861206055,-111.668830871582
"SC",33.7531547546387,-111.506385803223
"AF",34.2560768127441,-112.06640625
"MV",34.4991836547852,-111.816947937012
"WB",34.6792602539062,-111.695457458496
"OC",34.8616180419922,-111.762031555176
"NeuseDown2A",35.7733001708984,-78.5400009155273
"NHC",35.9794960021973,-79.0017547607422
"UNHC",35.9925079345703,-79.046012878418
"Mud",36.003978729248,-78.9714584350586
"Ellerbe",36.0105171203613,-78.9025497436523
"Stony",36.0324592590332,-79.082405090332
"ColeMill",36.0572624206543,-78.9784545898438
"Eno",36.0714836120605,-79.0967788696289
"UEno",36.1359176635742,-79.1587677001953
"Potash",38.5050010681152,-109.657997131348
"Cameo",39.2389984130859,-108.265998840332
"GFCP",39.2714996337891,-76.6485595703125
"DRKR",39.311222076416,-76.7165985107422
"GFVN",39.345890045166,-76.7331924438477
"GFGB",39.442943572998,-76.7834167480469
"BARN",39.4797019958496,-76.6785659790039
"POBR",39.4803047180176,-76.6875
"Unio",41.7555465698242,-72.8870391845703
"BUNN",41.7862091064453,-72.9648284912109
"CorkBrk",41.8037948608398,-71.6499176025391
"FARM",41.9082832336426,-72.7593536376953
"STIL",41.9679222106934,-73.033447265625
"HUBB",42.0374984741211,-72.9393310546875
"GOF",42.9481086730957,-71.463264465332
"MCQ",42.9647521972656,-71.4779663085938
"BDC",43.0933113098145,-70.9890365600586
"BEC",43.1097183227539,-89.6408309936523
"WHB",43.1222457885742,-71.0049209594727
"BRW",43.125,-89.6350021362305
"DCF",43.1347274780273,-71.1839218139648
"SBM",43.1703987121582,-71.2173080444336
"TPB",43.317756652832,-71.1674957275391
"HBF",43.9548530578613,-71.7225341796875
"BEF",44.0617332458496,-71.2945785522461
"Pass",44.3656158447266,-72.0392608642578
"SLPR",44.4352760314941,-72.0388870239258
"POPE",44.4761123657227,-72.125
"MOOS",44.5116653442383,-71.837776184082
"Sisimiut",66.9499969482422,-53.5999984741211
